date,dalian_pm25,dalian_pm10,dalian_o3,dalian_no2,dalian_so2,dalian_co
2020-01-09,95,64,33,32,15,13
2020-01-10,151,45,26,18,10,9
2020-01-11,93,30,25,12,8,7
2020-01-12,70,49,17,24,12,10
2020-01-13,114,36,22,16,8,7
2020-01-14,82,53,22,26,15,8
2020-01-15,136,60,22,26,15,11
2020-01-16,137,57,27,24,15,12
2020-01-17,124,90,31,25,17,16
2020-01-18,186,76,32,20,10,12
2020-01-19,126,47,29,17,10,9
2020-01-20,82,35,29,14,11,6
2020-01-21,66,39,36,12,5,5
2020-01-22,86,89,27,21,11,12
2020-01-23,168,47,27,18,14,7
2020-01-24,103,105,33,19,20,14
2020-01-25,209,97,25,27,20,17
2020-01-26,198,80,26,21,19,13
2020-01-27,163,128,23,26,11,21
2020-01-28,258,84,38,10,8,7
2020-01-29,173,41,32,6,7,3
2020-01-30,98,40,33,13,11,6
2020-01-31,110,52,31,11,10,6
2019-10-01,142,51,63,8,3,7
2019-10-02,138,62,59,10,4,6
2019-10-03,132,49,19,6,3,3
2019-10-04,57,27,29,7,3,3
2019-10-05,27,33,27,19,5,5
2019-10-06,52,39,46,10,5,7
2019-10-07,70,32,48,8,3,4
2019-10-08,24,29,46,6,4,5
2019-10-09,29,50,47,10,3,7
2019-10-10,104,57,26,28,5,9
2019-10-11,113,66,26,26,10,12
2019-10-12,113,57,20,16,8,10
2019-10-13,86,27,23,7,3,5
2019-10-14,41,24,25,14,4,8
2019-10-15,48,50,22,25,5,7
2019-10-16,104,53,33,22,5,8
2019-10-17,119,60,40,23,4,8
2019-10-18,145,88,65,14,5,11
2019-10-19,178,89,68,11,5,11
2019-10-20,185,100,55,23,4,12
2019-10-21,198,93,71,23,4,10
2019-10-22,174,81,61,15,3,8
2019-10-23,167,60,50,9,2,7
2019-10-24,148,18,30,8,3,2
2019-10-25,31,22,27,13,4,3
2019-10-26,43,52,40,12,5,6
2019-10-27,112,93,36,13,5,6
2019-10-28,109,28,27,14,4,4
2019-10-29,36,76,42,12,6,6
2019-10-30,110,129,38,30,9,12
2019-10-31,156,44,22,27,8,7
2019-11-01,72,40,25,32,8,8
2019-11-02,70,57,21,14,6,7
2019-11-03,80,39,23,18,8,7
2019-11-04,75,58,21,20,8,8
2019-11-05,91,48,20,29,11,6
2019-11-06,75,33,26,12,5,4
2019-11-07,45,59,28,24,8,8
2019-11-08,119,76,51,21,12,14
2019-11-09,160,56,56,13,5,9
2019-11-10,109,37,31,17,7,5
2019-11-11,55,45,28,16,6,5
2019-11-12,60,45,27,11,4,6
2019-11-13,70,41,27,9,6,4
2019-11-14,48,46,26,15,7,5
2019-11-15,84,24,29,10,7,4
2019-11-16,52,37,30,11,5,5
2019-11-17,74,60,23,7,4,3
2019-11-18,48,39,24,10,5,4
2019-11-19,49,40,26,11,6,5
2019-11-20,65,61,30,8,5,7
2019-11-21,100,41,28,12,6,5
2019-11-22,55,44,23,20,5,8
2019-11-23,101,32,20,9,4,6
2019-11-24,52,27,19,10,5,4
2019-11-25,46,44,24,19,8,7
2019-11-26,93,38,21,8,5,5
2019-11-27,45,24,20,10,6,5
2019-11-28,45,46,15,24,12,8
2019-11-29,94,64,23,25,10,11
2019-11-30,142,51,16,22,9,10
2019-12-01,105,26,25,11,9,5
2019-12-02,36,41,25,18,9,7
2019-12-03,78,56,17,24,18,10
2019-12-04,122,23,21,11,5,5
2019-12-05,48,39,28,17,15,6
2019-12-06,85,43,23,17,9,8
2019-12-07,96,83,43,15,9,10
2019-12-08,158,121,29,23,8,15
2019-12-09,213,109,29,25,9,14
2019-12-10,185,44,21,17,8,6
2019-12-11,89,29,24,16,11,4
2019-12-12,54,60,27,15,8,6
2019-12-13,114,35,21,18,12,5
2019-12-14,64,39,23,21,11,6
2019-12-15,81,39,25,16,6,4
2019-12-16,77,20,23,8,6,4
2019-12-17,68,18,23,10,6,2
2019-12-18,45,47,20,19,11,6
2019-12-19,99,29,23,20,14,6
2019-12-20,66,80,21,24,11,12
2019-12-21,173,77,17,23,11,13
2019-12-22,168,39,46,17,9,6
2019-12-23,105,51,30,20,13,8
2019-12-24,127,87,25,20,10,12
2019-12-25,178,40,24,12,7,6
2019-12-26,94,49,27,15,9,7
2019-12-27,100,70,34,16,8,9
2019-12-28,160,77,38,15,7,11
2019-12-29,170, , , , , 
2019-07-01,48,30,48,10,4,5
2019-07-02,59,32,71,5,2,5
2019-07-03,67,46,96,4,3,7
2019-07-04,119,42,75,3,2,7
2019-07-05,112,28,50,2,2,5
2019-07-06,81,29,51,5,2,7
2019-07-07,81,40,77,11,3,8
2019-07-08,101,18,46,3,2,4
2019-07-09,44,19,40,3,2,3
2019-07-10,43,19,47,4,3,4
2019-07-11,52,23,71,6,3,5
2019-07-12,75,31,61,6,3,6
2019-07-13,108,41,76,11,2,8
2019-07-14,124,32,53,5,3,8
2019-07-15,106,28,59,4,2,5
2019-07-16,93,32,43,4,4,5
2019-07-17,93,24,39,3,2,4
2019-07-18,63,25,45,4,2,4
2019-07-19,82,36,72,8,3,6
2019-07-20,108,50,116,10,6,10
2019-07-21,147,44,126,6,4,8
2019-07-22,131,26,35,5,2,5
2019-07-23,68,32,71,11,4,8
2019-07-24,102,21,46,4,2,7
2019-07-25,73,22,48,4,2,8
2019-07-26,89,21,44,4,1,7
2019-07-27,60,16,46,4,2,6
2019-07-28,46,26,72,5,4,6
2019-07-29,73,23,65,5,1,7
2019-07-30,65,32,102,6,2,7
2019-07-31,123,30,66,6,2,6
2019-08-01,70,22,28,7,2,5
2019-08-02,48,24,39,6,1,5
2019-08-03,48,38,40,10,3,6
2019-08-04,88,22,28,5,2,4
2019-08-05,58,39,32,6,2,5
2019-08-06,92,43,45,5,2,5
2019-08-07,104,35,44,6,2,4
2019-08-08,88,24,33,6,3,4
2019-08-09,58,20,20,6,2,5
2019-08-10,48,30,28,4,3,7
2019-08-11,53,56,47,5,1,5
2019-08-12,50,21,33,5,6,8
2019-08-13,60,17,29,9,3,7
2019-08-14,56,20,39,9,3,7
2019-08-15,52,28,74,7,5,8
2019-08-16,65,20,45,8,5,7
