일자,요일,city,교통량
20170111,수,양천구,2118.959518325
20170111,수,영등포구,1914.8275355
20170111,수,용산구,1934.3928569428572
20170111,수,은평구,1166.2985904333334
20170111,수,종로구,1067.09958065
20170111,수,중구,1017.6948350316666
20170111,수,중랑구,1702.083973
20170112,목,강남구,2270.8755374444445
20170112,목,강동구,1707.2222222333332
20170112,목,강서구,1293.666666675
20170112,목,관악구,1325.25000015
20170112,목,광진구,1661.6454173500001
20170112,목,구로구,693.27588686
20170112,목,금천구,1359.80794135
20170112,목,노원구,1672.6028714000004
20170112,목,도봉구,1177.1236445
20170112,목,동대문구,2886.25
20170112,목,동작구,3723.4375
20170112,목,마포구,3507.25
20170112,목,서대문구,1317.880248075
20170112,목,서초구,2388.1754473299998
20170112,목,성동구,1848.216533
20170112,목,성북구,1776.44161378
20170112,목,송파구,1617.8695382
20170112,목,양천구,2142.2158827499998
20170112,목,영등포구,1874.64834325
20170112,목,용산구,1963.8452381428574
20170112,목,은평구,1173.4639449333333
20170112,목,종로구,1046.3256402
20170112,목,중구,1036.0121095466666
20170112,목,중랑구,1683.0361905
20170113,금,강남구,2243.2800038888886
20170113,금,강동구,1823.9305555666667
20170113,금,강서구,1264.412500075
20170113,금,관악구,1344.5780786
20170113,금,광진구,1713.7763857
20170113,금,구로구,712.4107996
20170113,금,금천구,1393.2427269999998
20170113,금,노원구,1665.4674784
20170113,금,도봉구,1186.791199
20170113,금,동대문구,2795.0
20170113,금,동작구,3723.9583329999996
20170113,금,마포구,3367.53125025
20170113,금,서대문구,1373.664341375
20170113,금,서초구,2436.8869344299997
20170113,금,성동구,1844.3839594
20170113,금,성북구,1744.2536220000002
20170113,금,송파구,1617.6912390599998
20170113,금,양천구,2166.9432625749996
20170113,금,영등포구,1901.4202231250001
20170113,금,용산구,1925.3214287142857
20170113,금,은평구,1309.2870141666667
20170113,금,종로구,1062.5179723200001
20170113,금,중구,1035.9645999816664
20170113,금,중랑구,1722.556975
20170114,토,강남구,2129.1908567777773
20170114,토,강동구,1787.7777775666666
20170114,토,강서구,1246.3636198499998
20170114,토,관악구,1358.26098815
20170114,토,광진구,1654.7068674
20170114,토,구로구,679.11893046
20170114,토,금천구,1318.35017825
20170114,토,노원구,1690.1586426000001
20170114,토,도봉구,1154.223603
20170114,토,동대문구,2978.375
20170114,토,동작구,3567.1041665
20170114,토,마포구,3345.05208325
20170114,토,서대문구,1302.9647161999999
20170114,토,서초구,2157.15437263
20170114,토,성동구,1766.139009
20170114,토,성북구,1676.89879092
20170114,토,송파구,1557.1145948600001
20170114,토,양천구,2079.80276
20170114,토,영등포구,1739.25352825
20170114,토,용산구,1877.500000042857
20170114,토,은평구,1261.9014769666667
20170114,토,종로구,945.73560381
20170114,토,중구,841.6240410716667
20170114,토,중랑구,1701.88088
20170115,일,강남구,1806.814624777778
20170115,일,강동구,1611.8333335666666
20170115,일,강서구,983.396357525
20170115,일,관악구,1123.42431115
20170115,일,광진구,1285.1221626000001
20170115,일,구로구,560.8652676199999
20170115,일,금천구,1081.1200776
20170115,일,노원구,1515.3608246
20170115,일,도봉구,948.5327658500001
20170115,일,동대문구,2735.416667
20170115,일,동작구,3172.9791665
20170115,일,마포구,2952.6770835
20170115,일,서대문구,1142.01065295
20170115,일,서초구,1955.8063990300002
20170115,일,성동구,1446.0908746
20170115,일,성북구,1518.8030020800002
20170115,일,송파구,1312.9224749999998
20170115,일,양천구,1818.225463075
20170115,일,영등포구,1369.7907574875
20170115,일,용산구,1623.8214287571427
20170115,일,은평구,958.0948637
20170115,일,종로구,825.1130704899999
20170115,일,중구,731.0609013116667
20170115,일,중랑구,1475.1327687
20170116,월,강남구,2158.753484
20170116,월,강동구,1821.6805554333332
20170116,월,강서구,1251.244186125
20170116,월,관악구,1268.4520349
20170116,월,광진구,1606.60387945
20170116,월,구로구,662.9433253999999
20170116,월,금천구,1313.954276075
20170116,월,노원구,1646.3141673999999
20170116,월,도봉구,1138.359681
20170116,월,동대문구,2863.458333
20170116,월,동작구,3586.5625
20170116,월,마포구,3279.7187500000005
20170116,월,서대문구,1335.4635768
20170116,월,서초구,2330.3253905
20170116,월,성동구,1766.5559524
20170116,월,성북구,1681.3533674799996
20170116,월,송파구,1552.9486112
20170116,월,양천구,2043.1628915000001
20170116,월,영등포구,1784.8977573749999
20170116,월,용산구,1885.184523857143
20170116,월,은평구,1171.8543468666667
20170116,월,종로구,989.2341818000001
20170116,월,중구,979.9474955783335
20170116,월,중랑구,1646.7841195
20170117,화,강남구,2232.1407303333335
20170117,화,강동구,1837.8472222333332
20170117,화,강서구,1244.2865794499999
20170117,화,관악구,1294.7323234
20170117,화,광진구,1682.031668
20170117,화,구로구,733.06329246
20170117,화,금천구,1340.300691925
20170117,화,노원구,1646.43402344
20170117,화,도봉구,1154.855392
20170117,화,동대문구,2776.333333
20170117,화,동작구,3674.5416670000004
20170117,화,마포구,3336.0208335
20170117,화,서대문구,1395.352360625
20170117,화,서초구,2403.4680791
20170117,화,성동구,1849.9517858
20170117,화,성북구,1734.0643728
20170117,화,송파구,1600.1467235999999
20170117,화,양천구,2124.621540825
20170117,화,영등포구,1861.81820375
20170117,화,용산구,1924.5059524285714
20170117,화,은평구,1178.8538652
20170117,화,종로구,1033.86516581
20170117,화,중구,1016.5401063858332
20170117,화,중랑구,1681.1552145
20170118,수,강남구,2246.4199302222223
20170118,수,강동구,1816.1805554333332
20170118,수,강서구,1205.957155125
20170118,수,관악구,1321.16666665
20170118,수,광진구,1688.177447
20170118,수,구로구,739.05230512
20170118,수,금천구,1352.05109075
20170118,수,노원구,1654.3092511999998
20170118,수,도봉구,1172.754939
20170118,수,동대문구,2871.708333
20170118,수,동작구,3699.8958335
20170118,수,마포구,3311.38541675
20170118,수,서대문구,1397.13667665
20170118,수,서초구,2359.37322277
20170118,수,성동구,1866.1398026
20170118,수,성북구,1761.0983516400004
20170118,수,송파구,1598.13931966
20170118,수,양천구,2126.459518325
20170118,수,영등포구,1868.1804771250002
20170118,수,용산구,1928.4285714714283
20170118,수,은평구,1187.6056254333332
20170118,수,종로구,1061.6560580599999
20170118,수,중구,1014.7469184316668
20170118,수,중랑구,1704.1673065
20170119,목,강남구,2282.032944777778
20170119,목,강동구,1851.2222221
20170119,목,강서구,1236.571133125
20170119,목,관악구,1343.5833335
20170119,목,광진구,1717.82014495
20170119,목,구로구,709.99828268
20170119,목,금천구,1284.339191325
20170119,목,노원구,1669.3278716
20170119,목,도봉구,1184.4778110000002
20170119,목,동대문구,2875.625
20170119,목,동작구,3760.1041665
20170119,목,마포구,3353.8958332499997
20170119,목,서대문구,1394.635419625
20170119,목,서초구,2417.69211413
20170119,목,성동구,1858.2331996
20170119,목,성북구,1761.6002024999998
20170119,목,송파구,1560.6456756599998
20170119,목,양천구,2148.7783827499998
