"","미세먼지.....","초미세먼지.....","오존.ppm.","이산화질소농도.ppm.","일산화탄소농도.ppm.","아황산가스농도.ppm.","평균기온..C.","최저기온..C.","최고기온..C.","일강수량.mm.","최대.순간.풍속.m.s.","평균.풍속.m.s.","최대.순간.풍속.풍향.deg.","beijing_pm25","beijing_pm10","beijing_o3","beijing_no2","beijing_so2","beijing_.co","dalian_pm25","dalian_pm10","dalian_o3","dalian_no2","dalian_so2","dalian_co","qingdao_pm25","qingdao_pm10","qingdao_o3","qingdao_no2","qingdao_so2","qingdao_co","shanghai_pm25","shanghai_pm10","shanghai_o3","shanghai_no2","shanghai_so2","shanghai_co","shenyang_pm25","shenyang_pm10","shenyang_o3","shenyang_no2","shenyang_so2","shenyang_co","tianjin_pm25","tianjin_pm10","tianjin_o3","tianjin_no2","tianjin_so2","tianjin_co","교통량"
"24221",7,0.003,3,0.02,0.01,0.3,21.5,19.2,25.3,3,7.7,1.8,0,87,45,113,13,1,4,52,23,71,6,3,5,86,83,91,15,4,6.47,136,34,32,16,3,5,98,38,43,12,6,7,94,53,85.45,15,4,7,1978.56944444444
"6518",30,14,0.027,0.028,0.2,0.006,17.3,13.8,22.4,0,6.9,1.7,315,103,86,141,16,7,6,58,57,109,11,10,9,93,81,109,14,5,8,57,46,56,21,4,4,104,58,98,19,7,7,90,62,104,17,7,15,2847.810458
"1318",12,4,0.031,0.011,0.3,0.002,19.5,15.8,25.5,0,6,1.1,25.3,92,71,31,29,3,9,56,37,43,16,4,7,69,57,62,24,7,6.95,89,26,41,8,2,4,93,56,42,33,18,12,106,66,49.5,23,6,10,3169.3125
"11177",42,24,0.024,0.025,0.6,0.005,3.5,-2.6,9.8,0,6.6,1.2,42.2,80,93,21,34,9,13,81,55,35,17,17,11,72,61,33,14,11,6,186,49,42,30,7,5,131,64,31,28,61,13,132,78,30,35,26,15,956.4702659
"9500",37,22,0.019,0.02,0.2,0.006,-4.8,-7.1,-1.7,0,7.6,1.5,340.3,31,25,24,5,1,2,47,58,25,7,9,7,1,1,22.99,11.11,7.58,5.36,96,54,23,24,8,7,87,48,14,12,9,4,69,25,31.17,10,3,6,1234.125
"25774",38,0.004,21,0.041,0.035,0.5,17.2,13,22.9,0,7.9,2.4,191.3,115,76,96,22,3,8,158,78,85,14,8,6,111,58,62,9,2,5.7,110,51,87,15,3,5,156,85,95,16,15,11,149,72,88.36,20,8,7,1879.84523809524
"23969",14,0.004,11,0.021,0.008,0.3,25.7,23.9,28.5,8.5,5.5,1.1,157.5,153,90,45,25,3.13,11,147,44,126,6,4,8,97,50,54,7,2,5.31,111,44,70,11,1,4,88,51,98,12,1,13,157,65,74.51,15,4,10,1859.71571969697
"15706",57,35,0.013,0.039,0.7,0.003,-0.6,-5,4.4,0,4.31149743589744,1.1,265.6538,103,44,26,13,3,5,73,73,23,15,12,11,1,1,25.77,12.09,6.07,6.96,117,39,29,30,3,8,110,35,18,13,13,5,91,54,29.46,23,13,18,1283.825839
"26228",42,0.003,34,0.032,0.021,0.6,15.7,12.8,20.9,0.5,5,1.4,281.3,156,84,94,22,2,8,111,60,43,20,4,4,114,20,39,10,1,5.22,89,22,25,21,2,5,136,108,53,23,19,9,132,71,72.04,33,4,10,1272.58333333333
"11637",43,31,0.011,0.04,0.7,0.006,-1.8,-5.7,2,0,4.9,1.2,300.9,42,54,21,26,6,8,66,38,27,14,20,9,7,1,19.71,11.73,8.01,5.98,153,21,19,22,3,8,140,91,4,32,51,22,94,87,17.97,38,20,23,1157.13002
"18377",75,28,0.051,0.022,0.4,0.006,20.1,16.9,24.8,0,7.9,1.9,289.7,158,171,34,11,1,1,115,98,82,9,10,8,77,55,49,12,4,5.85,108,69,78,24,5,7,94,51,36,26,7,10,138,103,49.75,20,8,6,3191.302083
"23472",28,0.003,19,0.021,0.025,0.1,27.9014075091575,23.923,32.7063733974359,1.6871875,5.62714687049062,1.25133333333333,185.888541666667,118,29,51,12,1,6,58,20,20,6,2,5,44,30,28,3,3,3.47,60,20,32,3,1,5,122,28,20,10,9,5,96,25,56.14,13,3,6,903.482638888889
"7",0,46,0.029,0.03,0,0.006,7.7,5.4,11,0,6.4,1.7,300.9,46,27,43,11,1,2,176,59,41,26,18,14,132,53,42,16,5,5,158,64,50,28,10,7,187,119,47,38,38,14,63,33,38,22,7,3,1802.533208
"24537",35,0.005,35,0.042,0.021,0.3,23.9,21.7,28.8,1,5.5,1.5,230.6,75,33,49,6,1.71,6,101,57,94,5,5,8,93,30,48,6,2,4.6,114,45,33,21,1,7,113,36,34,17,8,6,103,48,62.36,12,6,6,785.111111111111
