"","미세먼지.....","초미세먼지.....","오존.ppm.","이산화질소농도.ppm.","일산화탄소농도.ppm.","아황산가스농도.ppm.","평균기온..C.","최저기온..C.","최고기온..C.","일강수량.mm.","최대.순간.풍속.m.s.","평균.풍속.m.s.","최대.순간.풍속.풍향.deg.","beijing_pm25","beijing_pm10","beijing_o3","beijing_no2","beijing_so2","beijing_.co","dalian_pm25","dalian_pm10","dalian_o3","dalian_no2","dalian_so2","dalian_co","qingdao_pm25","qingdao_pm10","qingdao_o3","qingdao_no2","qingdao_so2","qingdao_co","shanghai_pm25","shanghai_pm10","shanghai_o3","shanghai_no2","shanghai_so2","shanghai_co","shenyang_pm25","shenyang_pm10","shenyang_o3","shenyang_no2","shenyang_so2","shenyang_co","tianjin_pm25","tianjin_pm10","tianjin_o3","tianjin_no2","tianjin_so2","tianjin_co","교통량"
"20400",37,0.003,25,0.003,0.043,0.6,2.3,-3.8,6.8,0,6.5,1.2,213.8,82,26,16,22,1,4,114,35,21,18,12,5,111,67,22,29,6,8.13,97,64,32,33,4,9,97,46,8,23,20,7,113,37,23.76,24,6,8,2167.68055555556
"1907",15,5,0.016,0.027,0.2,0.003,19.7,14.1,26.8,0,4.6,1.1,137.8,27,16,27,9,1,2,102,18,25,12,3,5,118,70,47,22,5,4.88,64,51,93,12,4,5,79,36,18,20,5,6,70,34,46.18,14,3,7,2022.064789
"20696",50,0.005,32,0.008,0.055,0.5,5.1,3.3,7.1,3.5,4.7,1.1,309.4,52,24,21,11,1,2,105,26,25,11,9,5,122,52,20,22,6,5.5,85,59,22,25,6,10,71,27,18,19,9,5,56,34,28.99,15,3,4,1823.85738636364
"20909",56,0.004,22,0.006,0.05,0.8,9.2,3.4,14.3,0,4.9,1.2,45,198,103,24,34,5,16,55,44,23,20,5,8,52,42,29,9,2,6.67,82,37,17,27,3,5,94,31,18,17,6,5,187,99,33.16,34,7,17,1748.775
"14044",51,28,0.011,0.045,0.6,0.005,0.8,-4.8,6.4,0,5.1,1.3,64.7,143,29,26,15,3,8,78,51,29,22,15,10,58,59,33,9,7,5,84,49,28,20,4,8,157,67,21,27,28,9,124,80,30,21,8,14,2170.191656
"16311",60,29,0.009,0.04,0.7,0.005,-0.9,-4.3,3.5,0,4.7,1.4,264.4,42,54,21,26,6,8,66,38,27,14,20,9,7,1,19.78,11.54,8.18,5.99,153,21,19,22,3,8,140,91,4,32,51,22,94,87,17.91,38,20,23,1454.222364
"16864",63,50,0.024,0.029,0.6,0.005,18.9,12.7,24.7,0,6.9,1.6,239.1,185,78,54,20,2,10,140,48,46,7,3,7,106,43,45,11,3,4.86,150,59,93,10,4,5,138,59,55,12,12,8,155,60,66,22,10,16,1720.683333
"9589",37,28,0.023,0.017,0.6,0.005,0.9,-3.2,4,1.5,13.3,3.4,295.3,52,78,26,27,9,9,82,40,40,7,8,7,82,53,32,3,2,4.65,173,33,36,14,3,4,102,61,27,22,26,11,53,79,30.02,22,14,10,2450.708333
"12483",45,30,0.017,0.026,0.7,0.008,-0.4,-3,3.3,0,6.8,1.7,267.2,86,35,21,15,2,4,82,41,24,11,7,6,110,88,29,27,14,8.58,160,60,19,27,5,8,127,47,19,16,13,4,140,54,29.2,22,4,6,2722.916667
"82",0,0,0,0,0,0,5.3,2.8,9.3,0,6.6,1.8,219.4,171,92,42,30,8,13,93,77,41,23,13,13,62,99,29,21,5,7.53,118,55,65,29,5,6,158,59,36,21,15,8,145,85,38.86,29,9,16,1916.404762
"7253",31,17,0.007,0.046,0.8,0.003,-3.5,-9.025,3.15,0,4.725,1.1,108.225,144,50,19,15,4,4,126,53,18,16,9,8,152,89,19,23,7,8.15,54,15,24,14,2,4,159,82,9,26,23,8,145,69,25.75,19,3,7,993.4852654
"1321",12,6,0.019,0.023,0.4,0.003,15.2,12.5,18.7,0,6.9,2.8,42.2,131,15,26,13,7,5,78,52,77,11,5,8,60,75,97,34,10,7.83,59,25,41,8,3,3,77,32,19,21,9,8,144,32,43.16,15,2,7,998.7915331
"11405",42,32,0.016,0.035,0.5,0.006,5.3,2.3,9.3,0,7.2,1.8,295.3,176,70,28,19,10,12,144,50,44,17,10,11,151,89,39,17,3,6.61,125,57,55,27,5,5,145,64,26,35,32,12,152,69,31.26,28,8,11,1948.739395
"19528",103,58,0.004,0.067,0.9,0.009,11.6,7.1,16.8,0,2.9,0.5,5.6,52,46,4,24,2.56,6,59,35,18,17,8,6,64,52,24,22,7,6.53,75,34,18,22,3,5,109,65,6,33,19,8,88,74,28.45,25,4,11,2003.433348
"23313",18,0.003,11,0.025,0.021,0.4,26.8,23.9,30.9,0.5,6.3,1.1,208.1,30,26,36,12,1.59,2,65,20,45,8,5,7,87,46,73,20,5,5.15,155,61,129,16,4,9,42,11,24,11,4,3,53,32,47.79,15,3,5,1607.88033547278
"20263",45,0.003,33,0.021,0.029,0.6,1.9,-0.3,5.7,0,6.8,2.1,340.3,64,26,21,10,1,3,45,47,20,19,11,6,75,72,19,32,8,7.15,97,32,16,20,3,7,95,65,9,28,25,12,63,26,24.98,16,3,6,2126.17333958193
"24241",11,0.002,6,0.027,0.011,0.2,22.9,19.7,26.9,8,7.2,2.6,45,153,37,78,10,1,4,43,19,47,4,3,4,60,45,56,8,2,4.26,65,42,47,21,2,6,115,34,41,11,5,6,111,40,65.23,15,2,5,1250.11344599243
"24401",34,0.004,27,0.035,0.012,0.6,23.4,19.9,28.7,0,4.5,0.9,284.1,87,64,123,23,2,5,67,46,96,4,3,7,81,48,59,8,2,4.56,89,42,51,12,1,5,77,40,95,11,9,8,89,57,93.53,15,7,5,1306
"16892",64,50,0.003,0.073,1.1,0.007,-0.7,-5.3,3.5,0,3.6,1,284.1,203,49,14,28,6,8,161,84,18,24,25,13,141,110,16,24,19,10,127,38,32,24,6,5,200,95,13,31,48,12,172,83,14,34,22,22,1340.300692
"22261",42,0.006,29,0.037,0.023,0.5,21.6,16.9,28.2,0,4.7,1.3,320.6,182,79,93,20,2,10,169,66,98,11,6,10,95,53,79,12,3,5.72,101,45,39,13,2,3,162,75,92,21,12,12,139,66,83.46,17,5,6,1336.65833333333
"4823",25,16,0.021,0.02,0.2,0.004,28,23.3,33.2,0,5.78404761904762,1.4,270.213416666667,58,14,27,15,1,6,57,33,33,6,4,4,39,30,25,4,1,3.38,50,24,30.36,7,2,3,62,22,30,8,13,5,100,51,52.31,12,1,8,1641.001154
"8758",35,30,0.021,0.02,0.5,0.004,5.6,3.9,9.6,6.5,8.4,2.3,258.8,107,81,36,31,8,10,74,46,48,15,12,10,95,36,28,9,4,5.1,111,44,30,21,4,5,121,63,22,33,34,13,140,72,28.38,26,10,10,1761.125
"24897",22,0.003,15,0.041,0.03,0.4,22.5268666666667,16.3598238095238,28.2750386077158,0.428181818181814,6.19832847222223,1.24958333333333,273.505875,84,65,72,20,1,7,94,56,51,11,3,3,55,29,42,6,1,4.07,80,26,48,11,2,3,78,31,35,14,6,6,99,77,67.94,22,5,19,935.111111111111
"13911",50,35,0.036,0.024,0.5,0.004,6.61326052753819,2.9306552545156,11.9352601726984,-1.48148160405981e-14,7.05546666666666,1.57554365079365,202.6526,146,115,39,31,5,12,104,80,71,13,9,10,151,49,59,7,2,6.07,144,36,48,24,5,4,153,76,44,15,14,10,161,106,39.55,37,8,14,701.350569
"20187",31,0.002,20,0.004,0.037,0.8,-2,-6.7,1.4,0,4.1,0.7,174.4,130,69,19,35,5,13,173,77,17,23,11,13,171,81,22,31,5,9.99,93,18,27,21,3,8,130,85,5,30,31,15,143,88,23.5,33,8,19,1044.45833333333
"27880",57,0.006,33,0.027,0.016,0.5,-0.5,-6.9,6.8,0,8.5,3.2,315,40,42,32,9,3,3,87,36,25,7,8,5,86,39,26,6,5,4.5,92,23,30,7,2,2,76,44,23,14,13,6,47,50,31.22,9,3,5,1755.39583333333
"4632",25,13,0.023,0.028,0.5,0.004,26.6,22.8,32.5,0,5.4,1.3,317.8,30,42,32,23,1,4,66,38,40,19,5,10,55,52,113,14,9,3,79,31,50,10,3,6,82,31,33,18,6,3,75.98,48.68,45.26,20.86,4.91,7.91,2297.094864
"16975",64,34,0.009,0.036,0.3,0.005,2.5,-1,6,0,6.6,1.4,250.3,103,44,26,13,3,5,73,73,23,15,12,11,1,1,25.11,14.58,6.04,7.39,117,39,29,30,3,8,110,35,18,13,13,5,91,54,29.43,23,13,18,1385.714722
"4834",25,17,0.025,0.007,0.4,0.005,30.6,27.4,34.9,0,7.8,2.3,284.1,84,46,23,11,8,14,82,48,45,9,3,10,67,27,26,1,5,4,82,41,55.17,10,2,5,33,25,55,15,4,4,108,38,49.35,12,5,10,1251.583333
"6778",30,24,0.027,0.019,0.4,0.006,24.8,19.5,30.4,0,7.4,2,225,117,87,118,18,5,7,103,65,68,4,6,7,59,55,71,5,4,5.47,162,54,106,16,4,5,109,59,87,16,10,8,134,83,100.68,13,12,9,1943.395833
"9494",37,24,0.007,0.042,0.6,0.007,-2.2,-4.9,1.1,0,5.9,1.3,2.8,86,26,20,10,2,3,73,38,26,11,13,6,126,53,27,11,8,6,90,31,33,12,3,6,90,45,16,19,15,8,130,23,29.42,15,4,6,1197.020833
"17032",64,42,0.012,0.046,0.7,0.005,5.1,2.3,8.5,26,6.6,2.4,73.1,160,42,32,7,1,2,130,38,42,10,9,8,86,69,36,10,4,5.09,97,64,44,23,4,7,227,58,30,16,9,6,184,41,36.62,12,9,5,1288.933462
"16571",62,44,0.015,0.039,0.9,0.005,6.3,3.4,10.9,0.5,5.4,1,199.7,57,40,26,15,2,4,100,39,32,17,15,8,152,57,36,12,6,4,159,39,40,14,5,5,101,40,30,19,21,4,124,42,27,20,9,9,1435.23777
"20753",38,0.006,15,0.011,0.026,0.8,3.2,-1.1,11.1,0,5.4,1.2,281.3,125,65,4,30,5,9,45,46,15,24,12,8,66,63,22,28,7,7.61,68,32,20,20,2,5,101,75,6,30,29,15,93,66,20.26,40,7,9,1412.65625
"26250",52,0.004,25,0.04,0.019,0.4,12.9,5.8,18.8,0.5,5.6,1,351.6,122,109,44,22,3,8,92,69,44,15,4,5,87,55,32,13,1,5.84,72,38,22,19,2,5,131,64,41,20,5,5,79,82,44.6,25,5,10,1117.875
"8964",36,25,0.028,0.03,0.5,0.004,3.1,-4.6,7.4,2,5.5,0.9,185.6,156,29,29,8,2,2,134,61,34,7,8,7,125,99,33,5,6,4,114,66,37,18,5,5,130,52,30,18,31,5,164,33,29,13,4,5,3204.354167
"20401",19,0.003,14,0.018,0.015,0.4,4.08446428571429,0.997981444419873,9.00775421626984,0.227249999999995,7.18991666666667,1.64175,256.033583333333,65,47,25,20,3,8,54,60,27,15,8,6,88,66,32,24,6,7.12,102,50,31,29,4,8,88,52,12,21,11,8,92,58,30.2,27,5,10,929.034722222222
"26994",39,0.003,20,0.035,0.014,0.2,4.1,0.6,8.2,0,8.1,2.7,343.1,33,30,33,4,1.38,1,68,29,31,12,5,3,68,49,38,18,4,4.11,72,42,43,20,4,7,69,24,29,14,5,3,73,33,38.97,11,2,2,2287.39406565657
"2034",16,11,0.025,0.033,0.3,0.003,3.8,0.2,9.2,6.5,5,0.9,295.3,107,81,36,31,8,10,74,46,48,15,12,10,95,36,28,9,4,5.23,111,44,30,21,4,5,121,63,22,33,34,13,140,72,28.25,26,10,10,1097.402778
"7538",32,17,0.025,0.023,0.6,0.006,0.2,-3,4.8,0,8.2,2.2,25.3,115,40,34,14,5,4,136,114,39,24,17,19,72,88,30,9,5,7.53,102,47,33,19,4,7,162,76,26,27,30,18,156,75,29.55,31,16,14,1832.078955
"25313",30,0.003,12,0.029,0.015,0.2,19.4,14.1,24.9,0,7.1,1.2,154.7,61,47,113,18,1,4,72,55,108,22,6,7,83,65,105,31,4,7.03,65,53,47,38,2,9,85,57,39,16,5,4,59,68,78.94,19,9,6,1682.64351851852
"6827",30,10,0.029,0.018,0.4,0.004,19.4,15,24.8,0,6.3,1.3,250.3,25,22,29,11,1,2,29,22,28,13,4,5,83,53,63,33,7,5.45,157,42,73,7,3,5,56,23,21,16,6,5,61,34,44.22,15,2,7,1440.083333
"10352",39,21,0.014,0.037,0.7,0.007,-7.5,-17.1,1.2,0,4.1,0.8,329.1,90,30,27,5,2,2,66,62,30,16,14,9,94,74,24,17,8,8.21,194,77,35,37,12,11,172,42,23,17,17,6,135,31,29.33,10,7,7,1455.986316
"6620",30,16,0.018,0.024,0.5,0.003,12.3,5.8,17.9,0,6.2,1.6,331.9,112,33,9,25,2,5,88,31,40,15,7,10,98,64,52,29,5,8,47,34,43,11,4,4,87,43,21,25,5,8,118.85,58.36,39.21,22.81,5.48,10.38,1829.3
"14907",54,36,0.031,0.032,0.4,0.004,28.4,23.7,32.8,0,5.2,1,216.6,124,52,92,19,2,5,120,53,97,6,3,10,109,44,55,13,3,5,107,59,104,23,4,6,105,39,60,17,3,4,107,65,102,11,5,8,2010.619048
"2936",20,9,0.008,0.024,0.3,0.006,27.2,24.3,29.9,41,9.7,2.4,264.4,62,32,34,22,1,5,64,30,44,15,5,10,47,37,51,9,3,3,34,36,84,11,3,5,89,36,35,19,3,4,112,44.66,44.79,18.25,4.02,8.48,1729.625
"1437",13,5,0.028,0.008,0.4,0.004,30.7,24.3,36.5,0,5,1,5.6,142,71,130,18,9,13,110,44,47,17,5,10,88,29,41,7,2,4.07,102,44,65.98,15,5,7,155,47,87,14,3,5,159,69,98.4,21,1,14,1101.4375
"18327",75,30,0.037,0.038,0.4,0.009,21.3,17.2,26.2,0,6.4,1.4,275.6,382,466,42,10,4,2,88,73,41,10,4,7,62,103,38,12,1,6,76,48,23,20,3,7,129,104,38,15,3,5,292,458,41,18,4,10,1296.177083
"23991",7,0.003,4,0.015,0.007,0.2,28.8,26.3,31.2,2,9.2,3.1,84.4,139,65,116,13,2.45,8,108,50,116,10,6,10,78,56,78,14,4,5.49,83,47,79,15,2,4,134,31,36,11,2,7,111,60,85.83,12,5,10,1130.70304007568
"23159",38,0.002,24,0.046,0.007,0.2,27.3,22.9,32.3,0,8.6,2,303.8,58,32,37,17,1.30999999999999,4,86,26,35,10,3,6,120,60,108,19,7,5.29,111,45,47,14,2,6,84,19,25,11,4,3,83,41,43.88,19,4,6,2165.01254457983
"18318",75,41,0.025,0.048,0.9,0.005,11.6,6,17.8,0,4.9,1,284.1,159,43,42,14,2,4,153,60,44,18,10,13,95,75,49,11,3,5,136,35,47,14,4,5,150,103,46,30,20,8,148,64,40,25,12,6,1935.056543
"3941",23,10,0.022,0.018,0.5,0.004,-6.4,-9.9,-3.5,0,7.8,1.9,295.3,156,86,23,34,6,16,67,61,24,21,11,12,73,52,38,6,3,7,110,27,25,28,3,5,115,87,2,30,54,20,139,142,19.16,28,11,37,1668.08401145382
"23296",26,0.004,24,0.052,0.013,0.5,25.8,23.8,28.5,0,9.5,2.3,194.1,38,47,79,16,1.74,4,46,27,102,13,5,9,70,44,61,23,3,4.88,143,56,71,16,2,8,40,21,32,12,5,6,61,55,72.59,22,5,7,1985.19444444444
"3069",20,10,0.022,0.028,0.4,0.002,23.88175,19.0802954545455,28.3823636363636,1.9575,8.36671666666666,2.0975,114.933416666667,113,45,63,7,1,7,58,32,41,4,4,6,83,34,65,19,3,4.5,107,45,65,17,2,7,69,32,29,15,16,3,115,42,59.52,20,2,12,807.5749596
"21149",36,0.004,22,0.005,0.049,0.8,9.70646710526316,5.10197516025641,14.9696293713533,-4.55191440096314e-15,3.88613677789956,0.708306818181818,221.801776515152,143,52,25,6,1.47,2,60,45,27,11,4,6,83,83,36,18,4,6.33,82,66,38,26,5,8,101,29,17,14,5,3,126,59,38.68,15,3,4,921.849278808746
"3242",21,12,0.016,0.028,0.4,0.003,15.5,10.6,20.6,0,5.8,1.2,59.1,140,85,18,28,2,14,135,65,70,15,5,17,142,93,66,26,8,12,88,28,43,12,2,5,174,115,34,32,14,25,159.51,92,47.64,31.01,6.75,14.41,1785.274306
"1922",15,6,0.018,0.023,0.4,0.003,15.7,10.4,21.2,0,4.8,1.1,351.6,48,13,19,4,1,2,49,53,45,20,5,11,72,46,50,12,3,4.82,74,41,32,24,3,5,90,43,17,19,8,8,114,35,39.98,10,1,6,1836.797619
"17915",71,44,0.036,0.038,0.5,0.007,14.6,7.7,21.8,0,8.2,1.7,205.3,187,60,67,9,2,4,165,38,50,10,7,13,117,42,49,8,1,6,137,52,41,30,5,6,155,75,68,15,14,6,178,47,34,26,12,9,1687.6875
"22906",18,0.004,12,0.032,0.018,0.3,23.5,19.4,27.7,0,3.8,1,137.8,68,54,104,16,1,4,50,18,57,7,3,6,42,30,58,11,2,4,65,16,31,16,2,5,77,42,71,13,12,7,96,63,89.73,24,6,8,2833.625
"4524",25,13,0.019,0.021,0.3,0.004,-4.7,-6.7,-0.7,0,6.9,1.9,87.2,38,36,23,23,5,7,65,45,24,12,14,13,145,61,23,12,15,4,177,31,30,14,6,5,60,45,16,20,37,5,64,37,15,25,9,9,1925.321429
"27497",67,0.004,49,0.017,0.053,0.9,4.33245769230769,-1.01536944444444,10.6887968434343,-9.80104886139088e-15,5.64449722222222,1.06625,221.395928571429,195,103,46,36,4,18,212,74,43,24,16,11,209,121,56,44,12,12.9,137,84,35,32,5,9,209,106,25,42,30,18,345,139,29.3,50,8,17,952.693387681159
"8891",35,21,0.022,0.02,0.5,0.005,22.8,21.9,24.7,1,5.1,1.5,270,25,37,30,18,1,2,48,35,65,15,6,9,87,48,64,25,8,6.29,63,15,13,15,2,5,81,47,29,33,18,12,59,64,48.59,22,4,7,1676.080167
"14286",51,31,0.009,0.041,0.8,0.005,11.5,7.9,16.2,0,3.6,0.5,98.4,100,24,19,10,1,3,147,34,21,11,5,4,146,55,38,17,4,5.5,80,24,31,15,3,3,107,42,18,17,11,3,166,49,37.93,13,2,7,1683.585059
"10937",41,22,0.009,0.026,0.5,0.006,-7.5,-9.7,-4.2,0,5.8,1.9,329.1,95,67,4,34,11,18,78,59,21,30,26,12,116,66,9,26,12,7,75,36,25,17,3,6,174,104,2,34,62,20,134.54,92.07,12.62,33.74,20.71,23.27,2274.533333
"19289",94,65,0.018,0.04,0.8,0.004,4.1,-1.1,8.3,4.5,9.1,1.4,239.1,76,62,27,10,6,6,197,35,34,13,14,8,144,57,30,8,5,4.55,133,40,39,18,4,5,145,48,28,19,19,9,143,35,31.01,14,13,7,2096.668572
"1138",11,3,0.026,0.011,0.4,0.004,22.3,18.2,27.2,0,6.5,2,42.2,115,61,68,16,4,7,63,27,41,6,3,5,70,50,54,24,5,6.43,63,33,37,14,3,4,116,41,38,17,17,8,109,64,64.48,20,5,12,1631.0625
"23594",36,0.004,27,0.037,0.034,0.4,31.5,25.5,37.1,0,4.8,1.2,334.7,107,53,71,13,1,6,58,39,32,6,2,5,33,23,26,5,2,3.14,54,28,32,8,2,4,118,47,32,12,14,9,107,53,67.31,16,3,8,2093.68650078416
"28059",77,0.004,26,0.026,0.014,0.5,-1.1,-5.1,3.1,0,8,2.8,275.6,48,73,26,26,4,9,58,67,32,12,8,8,67,91,30,8,6,7.69,62,60,28,15,2,8,136,74,18,23,21,13,55,92,28.6,15,9,10,1714.86791536159
"26896",52,0.004,32,0.028,0.036,0.5,11.7,6.3,17.5,0,7,1.3,236.3,118,90,32,27,4,9,187,80,36,22,8,6,153,99,63,24,8,9.33,145,53,37,34,4,9,67,55,32,19,11,13,170,86,39.48,29,9,14,2045.54166666667
"7506",32,22,0.036,0.024,0.4,0.005,21.4,16.4,28,0,6.8,1.9,5.6,117,87,118,18,5,7,103,65,68,4,6,7,59,55,71,5,4,5.59,162,54,106,16,4,5,109,59,87,16,10,8,134,83,99.88,13,12,9,1035.663889
"13385",48,31,0.026,0.032,0.6,0.004,5.2,1.6,9.1,0,9,1.9,233.4,176,70,28,19,10,12,144,50,44,17,10,11,151,89,39,17,3,6.66,125,57,55,27,5,5,145,64,26,35,32,12,152,69,31.2,28,8,11,2089.53826489433
"18940",84,52,0.019,0.029,0.7,0.008,7.4,3.2,12.5,0,7.8,1.7,208.1,141,97,53,23,6,7,137,55,50,9,9,10,76,48,49,10,2,3,119,67,44,25,7,7,143,89,48,20,17,10,119,75,43,18,15,7,791.9097222
"23898",26,0.004,17,0.017,0.023,0.4,27.55,22.925,33.125,0,5.425,0.875,256.875,86,60,100,15,1.5,7,68,32,71,11,4,8,75,50,86,13,2,4.63,83,49,74,21,2,5,111,31,92,9,3,7,90,58,85.23,19,5,8,990.537678062678
"6566",30,22,0.038,0.021,0.4,0.004,32.2,28.3,36.7,0,6.9,1.8,343.1,75,34,53,18,1,5,53,33,54,6,4,8,83,70,129,12,3,7,125,71,112,17,4,11,54,34,61,20,10,6,126,49,115,12,2,5,1866.505952
"4661",25,18,0.018,0.028,0.4,0.005,19.4,16.3,23.8,2,3.2,0.9,309.4,57,51.52,50.73,19.77,1.56,6.58,75,38.55,58.44,10.15,5.13,8.11,48,40.2,56.02,11.91,2.77,4.66,119,40.59,51.98,13.81,3.48,5.19,113,44.04,43.19,19.01,6.89,6.48,96.46,54.09,59.75,18.7,5.58,9.42,1397.15625
"10665",40,20,0.016,0.019,0.4,0.005,-3.7,-5.4,-0.7,0,5.8,2.1,329.1,43,23,15,17,1,4,56,40,24,10,13,7,77,49,27,14,8,6,77,10,25,13,3,5,92,68,9,25,24,12,46,29,22.47,21,6,9,2105.49693
"4198",24,18,0.03,0.022,0.3,0.006,28,24.7,32.3,0.5,7.2,1.3,225,51,36,61,15,1,3,72,40,73,11,4,9,119,53,132,13,3,4,150,71,127,17,4,9,63,34,60,19,1,2,87,46,80,18,3,3,1085.854167
"19221",93,64,0.017,0.037,1,0.005,6.5,4,10.2,0,5.9,1.7,292.5,273,282,6,73,8,55,185,88,34,27,21,19,245,135,28,30,16,27,150,79,29,35,6,10,94,99,8,42,77,24,312,202,4,54,26,67,1454.581945
"11830",43,32,0.008,0.047,0.9,0.008,3.8,-1.8,7.7,0,7.9,1.3,284.1,91,55,10,30,3,8,114,51,20,28,16,10,170,315,18,69,17,13.82,168,69,11,47,7,8,154,62,11,28,31,13,108,77,18.13,39,6,11,2715.458333
"17280",66,14,0.017,0.022,0.4,0.003,6.5,4.6,10.1,0,7.2,1.7,306.6,51,68,4,32,2,9,35,50,39,11,10,10,56,54,36,24,5,6,67,44,30,21,4,4,78,62,17,24,26,12,79.04,71.04,24.47,27.56,6.85,11.5,1341.466146
"1703",14,7,0.025,0.014,0.4,0.005,18.4,15.4,22.6,0,9.4,2.4,306.6,20,17,33,6,7,4,37,22,30,12,4,5,70,55,49,22,4,4.11,117,42,47,11,5,4,100,21,23,16,5,7,59,33,42.63,16,2,6,1587.5
"16738",63,40,0.011,0.047,0.7,0.005,5.2,-0.9,11.6,0,4.8,0.9,194.1,165,30,28,8,2,2,161,55,34,12,9,8,152,102,32,15,5,5,151,64,25,42,6,7,134,50,31,16,22,3,164,69,30,24,13,14,1822.833333
"25696",56,0.005,38,0.031,0.039,0.5,18.9,15,23.3,0,6.3,1.2,210.9,86,86,86,22,3,6,80,68,50,9,4,3,85,54,43,13,2,5.06,88,31,43,12,2,5,94,60,61,13,11,6,68,108,84.13,31,8,9,1976.77777777778
"13513",49,19,0.035,0.027,0.3,0.005,15.9,12.7,20.6,0,9.6,2.6,275.6,95,73,39,30,3,6,90,65,39,17,9,7,58,71,55,20,5,7,139,71,42,32,6,6,67,52,39,15,2,2,96,68,51,28,11,10,2899.625
"27299",107,0.004,87,0.023,0.058,0.9,8.5,2.1,14.1,0,4.3,1,8.4,250,102,41,30,6,12,307,128,57,37,12,13,204,111,42,33,9,10.74,140,67,34,31,3,7,212,153,49,40,29,22,199,105,38.89,29,7,9,1758.67919523275
"18776",80,52,0.029,0.038,0.5,0.004,22.7,15.2,29.4,0,4,0.8,250.3,155,78,77,17,2,17,102,27,36,6,4,6,73,57,52,12,4,4.53,140,55,104,13,5,5,132,39,40,12,8,6,141,65.47,68.79,20,8,16,1733.583333
"3682",22,15,0.038,0.018,0.5,0.006,22.7,18.5,28.4,0,6.6,1.4,331.9,46,48,26,20,1,4,59,45,70,12,6,8,66,65,93,35,10,7.36,54,24,22,16,3,5,109,55,61,28,15,12,114,48,50.01,14,4,7,2659.25
"23181",28,0.004,23,0.036,0.022,0.3,26.7,24.2,30.6,1,5.8,1.1,348.8,94,34,38,18,1,5,82,79,48,16,5,9,72,69,103,21,6,5.6,91,54,77,15,2,6,70,37,29,14,6,9,102,47,47.84,21,4,7,2657.04166666667
"22170",7,0.002,5,0.018,0.015,0.3,23,20.3,27.4,19.5,6.3,1.7,354.4,148,29,22,5,1.9,3,132,49,19,6,3,3,117,87,53,15,3,5.63,76,45,52,13,3,4,99,20,16,8,4,2,139,38,51.95,10,4,5,1302.31547619048
"25038",27,0.003,20,0.039,0.02,0.3,23,18.6,28,0,4.8,0.7,298.1,102,18,41,8,1.83,4,90,47,49,8,3,4,91,42,50,8,1,3.8,85,31,68,8,1,4,65,21,51,13,3,5,108,33,48.87,13,3,3,1480.84722222222
"13280",48,41,0.011,0.023,0.8,0.005,-5.5,-8,-2.1,0,13.2,4.7,320.6,38,50,18,24,2,6,63,48,26,21,20,8,89,46,29,8,20,4,150,57,25,24,7,8,71,71,11,24,29,11,151,68,20.69,26,10,11,3330.698823
"18020",72,48,0.037,0.056,0.7,0.005,13.5224987789988,6.20425238095238,21.2173418817294,-6.43041175862891e-15,7.16475000000001,1.59390952380952,253.753604545455,187,60,67,9,2,4,165,38,50,10,7,13,117,42,49,8,1,6,137,52,41,30,5,6,155,75,68,15,14,6,178,47,34,26,12,9,1013.026216
"22598",16,0.003,10,0.025,0.011,0.4,23.025,18.525,29.45,0,5.625,1.25,95.225,101,47,54,15,2,5,63,40,40,11,6,7,52,58,90,16,6,5.62,59,35,56,10,2,4,86,27,24,11,4,2,137,44,56.31,21,5,4,705.03451829806
"19083",88,51,0.036,0.042,0.5,0.006,21.1,16.6,27.2,0,6.1,1.5,289.7,136,85,59,19,7,6,82,28,49,6,4,6,91,37,40,5,2,2,70,27,41,12,2,4,121,64,67,11,11,4,133,60,61,26,7,10,2090.416667
"11153",42,22,0.005,0.033,1.1,0.003,-7.3,-13.4,2.7,0,3.7,0.4,306.6,174,106,7,42,14,22,100,68,27,24,24,15,135,90,25,24,16,8,77,46,18,31,7,7,194,119,6,41,82,18,158,82,5,30,21,23,1171.854347
"19131",89,78,0.003,0.066,1.1,0.008,3.9,1.3,6.5,0,3.3,0.9,47.8,114,71,24,26,6,9,155,83,22,26,12,14,1,1,20.93,18.81,8.78,8.67,132,80,22,31,4,10,150,98,2,30,41,16,107,76,21.06,33,10,14,1859.689713
"6050",28,13,0.015,0.025,0.4,0.003,11.5,6.9,16.2,0,6.2,1.5,334.7,107,76,32,33,4,10,43,44,66,13,5,8,93,64,79,44,9,8.15,103,28,46,19,3,3,118,64,44,28,18,15,161,102,43.39,41,8,15,3799.40625
"15546",57,34,0.019,0.045,0.7,0.006,0.9,-3.2,5.4,0,8.2,1.5,227.8,236,135,16,53,20,27,146,69,62,12,15,15,151,82,59,8,12,7,157,62,63,30,8,6,184,77,40,22,26,9,169,144,7,59,33,33,1757.389373
"13518",49,27,0.026,0.032,0.4,0.005,15.4,11.9,19.2,5,8.9,2,22.5,180,66,44,8,1,1,85,64,42,11,6,7,100,96,56,11,4,7,145,82,61,29,8,7,131,65,42,13,3,4,170,86,43,15,2,5,1616.604167
"977",10,5,0.031,0.016,0.5,0.003,17.6,16.1,19.7,39.5,5.2,1.6,25.3,161,18,25,7,1,3,79,51,31,13,4,6,80,74,142,19,5,6.98,72,38,49,12,3,4,125,54,22,24,8,11,149,53,52.74,16,2,6,1621.281172
